aX,aY,aZ
-0.133,0.101,1.17
-0.114,0.084,1.161
-0.114,0.064,1.151
-0.095,0.064,1.14
-0.075,0.047,1.126
-0.054,0.034,1.001
-0.039,0.023,1.107
-0.026,0.016,1.087
-0.016,0.014,1.07
-0.016,0.016,1.052
-0.005,0.015,1.037
0.004,0.015,1.021
0.012,0.012,1.005
0.023,0.012,1.005
0.034,0.01,0.991
0.043,0.005,0.976
0.052,-0.001,0.961
0.052,-0.009,0.948
0.058,-0.009,0.934
0.061,-0.015,0.923
0.063,-0.018,0.923
0.062,-0.022,0.915
0.061,-0.025,0.909
0.057,-0.021,0.905
0.057,-0.017,0.9
0.051,-0.012,0.895
0.045,-0.012,0.895
0.04,-0.008,0.895
0.035,-0.005,0.894
0.033,-0.005,0.895
0.029,-0.005,0.894
0.029,-0.007,0.894
0.024,-0.007,0.897
0.02,-0.007,0.902
0.017,-0.007,0.907
0.016,-0.006,0.907
0.015,-0.007,0.912
0.015,-0.008,0.915
0.015,-0.011,0.917
0.019,-0.017,0.921
0.02,-0.017,0.921
0.02,-0.027,0.918
0.019,-0.042,0.918
0.017,-0.061,0.916
0.018,-0.077,0.917
0.016,-0.091,0.918
0.016,-0.108,0.919
0.016,-0.108,0.92
0.018,-0.12,0.919
0.019,-0.131,0.919
0.02,-0.141,0.918
0.021,-0.146,0.915
0.023,-0.152,0.911
0.023,-0.157,0.91
0.024,-0.159,0.911
0.026,-0.159,0.91
0.03,-0.157,0.909
0.033,-0.153,0.909
0.038,-0.151,0.911
0.044,-0.153,0.914
0.05,-0.156,0.918
0.05,-0.159,0.928
-0.124,1.273,1.526
-0.124,1.508,1.702
-0.206,1.339,1.683
-0.305,1.339,1.774
-0.421,0.991,1.873
-0.543,0.631,1.873
-0.63,0.407,1.787
-0.665,0.312,1.578
-0.645,0.227,1.389
-0.645,0.124,1.301
-0.58,0.124,1.302
-0.491,0.04,1.335
-0.398,0.01,1.335
-0.327,0.036,1.288
-0.247,0.073,1.189
-0.139,0.113,1.101
-0.014,0.157,0.988
-0.053,0.18,0.882
0.001,0.18,0.815
0.054,0.186,0.815
0.102,0.18,0.761
0.13,0.17,0.713
0.14,0.158,0.679
0.14,0.138,0.661
0.139,0.105,0.654
0.135,0.105,0.635
0.13,0.069,0.6
0.118,0.05,0.6
0.111,0.022,0.588
0.106,0.009,0.597
0.099,0.023,0.604
0.099,0.035,0.617
0.094,0.035,0.632
0.091,0.046,0.661
0.096,0.048,0.661
0.105,0.047,0.709
0.108,0.053,0.759
0.101,0.067,0.808
0.101,0.086,0.858
0.087,0.086,0.91
0.066,0.105,0.98
0.045,0.129,0.98
0.03,0.155,1.078
-0.014,0.167,1.141
-0.076,0.151,1.149
-0.076,0.117,1.142
-0.119,0.077,1.129
-0.141,0.077,1.118
-0.148,0.043,1.118
-0.149,0.03,1.123
-0.149,0.028,1.139
-0.143,0.021,1.153
-0.136,0.005,1.162
-0.136,-0.016,1.165
-0.13,-0.016,1.155
-0.123,-0.04,1.135
-0.122,-0.059,1.135
-0.119,-0.07,1.114
-0.115,-0.072,1.097
-0.111,-0.068,1.083
-0.111,-0.06,1.074
-0.105,-0.047,1.067
-0.095,-0.047,1.058
-0.08,-0.041,1.045
-0.063,-0.041,1.045
-0.043,-0.044,1.032
-0.02,-0.051,1.017
-0.02,-0.055,1.004
0,-0.058,0.992
0.016,-0.058,0.979
0.029,-0.057,0.969
0.039,-0.055,0.969
0.043,-0.053,0.96
0.044,-0.051,0.95
0.044,-0.05,0.939
0.047,-0.05,0.93
