aX,aY,aZ
0.173,-0.859,0.112
0.173,-0.892,0.11
0.175,-0.892,0.102
0.168,-0.908,0.09
0.156,-0.914,0.09
0.14,-0.914,0.084
0.125,-0.907,0.085
0.117,-0.899,0.092
0.117,-0.895,0.099
0.117,-0.889,0.101
0.123,-0.889,0.102
0.133,-0.883,0.102
0.148,-0.875,0.102
0.164,-0.86,0.106
0.182,-0.842,0.122
0.182,-0.82,0.143
0.198,-0.798,0.164
0.213,-0.798,0.183
0.226,-0.784,0.194
0.24,-0.783,0.194
0.25,-0.789,0.193
0.258,-0.794,0.185
0.264,-0.8,0.172
0.264,-0.807,0.159
0.269,-0.807,0.147
0.275,-0.815,0.138
0.278,-0.824,0.138
0.281,-0.831,0.132
0.285,-0.834,0.132
0.291,-0.835,0.136
0.298,-0.835,0.137
0.298,-0.832,0.133
0.301,-0.832,0.129
0.3,-0.832,0.122
0.3,-0.839,0.122
0.299,-0.852,0.111
0.297,-0.867,0.101
0.292,-0.881,0.09
0.292,-0.89,0.082
0.287,-0.89,0.076
-0.114,0.695,1.294
-0.071,0.807,1.453
-0.096,0.67,1.373
-0.127,0.526,1.213
-0.127,0.495,1.238
-0.105,0.51,1.245
-0.11,0.51,1.198
-0.136,0.562,1.185
-0.147,0.617,1.185
-0.153,0.632,1.194
-0.162,0.613,1.189
-0.162,0.584,1.18
-0.164,0.562,1.172
-0.158,0.562,1.156
-0.151,0.552,1.129
-0.149,0.55,1.129
-0.148,0.549,1.103
-0.147,0.55,1.087
-0.146,0.551,1.076
-0.146,0.555,1.066
-0.142,0.558,1.057
-0.131,0.558,1.05
-0.118,0.561,1.05
-0.102,0.566,1.043
-0.086,0.576,1.037
-0.07,0.587,1.03
-0.07,0.597,1.024
-0.054,0.607,1.019
-0.038,0.607,1.021
-0.021,0.61,1.024
-0.009,0.609,1.024
0.001,0.607,1.023
0.007,0.605,1.024
0.007,0.601,1.027
0.009,0.597,1.029
0.012,0.597,1.031
0.011,0.59,1.035
0.007,0.582,1.035
0.002,0.571,1.04
-0.003,0.558,1.042
-0.003,0.548,1.044
-0.01,0.534,1.043
-0.014,0.534,1.04
-0.018,0.521,1.037
-0.022,0.51,1.037
-0.024,0.5,1.032
-0.029,0.493,1.026
-0.032,0.487,1.021
-0.032,0.483,1.016
-0.034,0.483,1.013
-0.036,0.48,1.01
-0.037,0.477,1.006
-0.038,0.475,1.006
-0.04,0.472,1.005
-0.041,0.47,1.005
-0.04,0.468,1.006
-0.04,0.464,1.008
-0.04,0.464,1.008
-0.039,0.46,1.008
-0.038,0.457,1.008
-0.039,0.455,1.01
-0.039,0.452,1.01
-0.04,0.45,1.008
-0.04,0.454,1.003
-0.055,0.449,1.03
-0.078,0.449,1.06
-0.07,0.441,1.06
-0.047,0.443,1.053
-0.043,0.453,1.036
-0.044,0.464,1.017
-0.044,0.465,1.002
-0.043,0.46,0.992
-0.046,0.46,0.987
-0.052,0.46,0.991
-0.054,0.463,0.991
-0.053,0.466,0.998
-0.053,0.468,1.003
-0.056,0.467,1.007
-0.056,0.467,1.01
-0.054,0.467,1.016
-0.044,0.476,1.022
-0.032,0.485,1.022
-0.02,0.488,1.024
-0.009,0.49,1.029
0.004,0.49,1.036
0.004,0.49,1.041
0.012,0.491,1.045
0.017,0.491,1.049
0.024,0.488,1.049
0.032,0.489,1.057
0.041,0.49,1.062
0.055,0.489,1.067
0.055,0.489,1.074
0.068,0.487,1.08
0.076,0.487,1.085
0.08,0.488,1.09
0.078,0.489,1.09
0.07,0.491,1.094
0.065,0.497,1.1
0.067,0.501,1.109
0.067,0.501,1.117
0.07,0.501,1.126
0.07,0.501,1.138
0.068,0.498,1.138
0.062,0.494,1.148
0.054,0.493,1.158
0.045,0.494,1.169
0.045,0.497,1.18
0.037,0.497,1.194
0.03,0.498,1.206
0.024,0.494,1.206
0.021,0.491,1.219
0.024,0.487,1.231
0.029,0.484,1.244
0.029,0.484,1.256
0.031,0.484,1.265
0.027,0.484,1.27
0.018,0.487,1.27
0.008,0.491,1.272
0.118,0.42,1.474
0.108,0.417,1.468
0.09,0.412,1.468
0.065,0.406,1.452
0.04,0.403,1.43
0.019,0.398,1.404
0.019,0.389,1.374
-0.001,0.374,1.34
-0.021,0.374,1.299
-0.039,0.356,1.299
-0.058,0.335,1.249
-0.078,0.317,1.191
-0.092,0.304,1.127
-0.092,0.291,1.06
-0.103,0.278,0.993
-0.112,0.278,0.925
-0.115,0.275,0.859
-0.117,0.269,0.859
-0.123,0.255,0.792
-0.133,0.244,0.729
-0.133,0.232,0.675
-0.137,0.215,0.63
-0.132,0.215,0.6
-0.119,0.194,0.578
-0.111,0.171,0.578
-0.102,0.121,0.553
-0.086,0.055,0.53
-0.084,0.012,0.508
-0.084,-0.033,0.484
-0.092,-0.14,0.468
-0.09,-0.14,0.451
-0.088,-0.403,0.474
-0.115,-0.482,0.474
-0.109,-0.356,0.55
-0.072,-0.336,0.621
-0.068,-0.323,0.655
-0.068,-0.298,0.655
-0.066,-0.298,0.641
-0.051,-0.298,0.62
-0.027,-0.338,0.62
-0.003,-0.402,0.596
0.02,-0.462,0.581
0.04,-0.498,0.582
0.04,-0.509,0.595
0.06,-0.51,0.616
0.076,-0.51,0.637
0.084,-0.503,0.637
0.092,-0.495,0.654
0.098,-0.487,0.666
0.1,-0.482,0.671
0.1,-0.481,0.671
0.098,-0.482,0.668
0.09,-0.482,0.664
0.087,-0.486,0.663
0.085,-0.491,0.663
0.084,-0.495,0.66
0.081,-0.498,0.656
0.074,-0.502,0.652
0.074,-0.503,0.641
0.064,-0.504,0.627
0.053,-0.504,0.613
0.043,-0.506,0.601
0.035,-0.51,0.601
0.031,-0.516,0.59
0.027,-0.524,0.577
0.027,-0.536,0.566
0.027,-0.55,0.559
0.03,-0.55,0.554
0.035,-0.562,0.55
0.044,-0.573,0.55
0.056,-0.583,0.546
0.069,-0.596,0.542
